date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2020-11-01,26.9991440838544,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2020-12-01,26.892256289864896,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-01-01,26.067253077102798,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-02-01,26.9610983504864,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-03-01,26.9781762091186,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-04-01,26.939698343769997,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-05-01,27.023598386458,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-06-01,27.5871044194524,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-07-01,27.7703295188119,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-08-01,27.7004086798138,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-09-01,27.848366856455197,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2021-10-01,28.073437496915304,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2007-01-01,18.4501300389281,NE,"Lincoln, NE",Lincoln,"Average Hourly Earnings of All Employees: Total Private in Lincoln, NE (MSA)",SMU31307000500000003SA,Monthly,Seasonally Adjusted
