date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-12-01,305110.2053,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-01-01,299542.8107,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-02-01,301844.4358,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-03-01,307352.4645,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-04-01,316391.9104,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-05-01,320032.5192,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-06-01,322650.7155,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-07-01,326642.108,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-08-01,327882.1554,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-09-01,329156.5194,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-10-01,328493.7021,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-11-01,329078.5275,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2017-12-01,328445.942,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2018-01-01,325760.1529,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
2018-02-01,323558.6974,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Average Listing Price in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",AVELISPRI34820,Monthly,Not Seasonally Adjusted
