date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2021-05-01,16.36,IL,"Rockford, IL",Rockford
2021-06-01,10.11,IL,"Rockford, IL",Rockford
2021-07-01,7.2,IL,"Rockford, IL",Rockford
2021-08-01,16.05,IL,"Rockford, IL",Rockford
2021-09-01,15.29,IL,"Rockford, IL",Rockford
2021-10-01,15.87,IL,"Rockford, IL",Rockford
2021-11-01,13.86,IL,"Rockford, IL",Rockford
2017-07-01,10.48,WA,"Kennewick-Richland, WA",Kennewick
2017-08-01,9.61,WA,"Kennewick-Richland, WA",Kennewick
2017-09-01,8.52,WA,"Kennewick-Richland, WA",Kennewick
2017-10-01,7.4,WA,"Kennewick-Richland, WA",Kennewick
2017-11-01,7.02,WA,"Kennewick-Richland, WA",Kennewick
2017-12-01,6.41,WA,"Kennewick-Richland, WA",Kennewick
2018-01-01,6.65,WA,"Kennewick-Richland, WA",Kennewick
2018-02-01,7.21,WA,"Kennewick-Richland, WA",Kennewick
2018-03-01,6.82,WA,"Kennewick-Richland, WA",Kennewick
2018-04-01,5.92,WA,"Kennewick-Richland, WA",Kennewick
2018-05-01,6.32,WA,"Kennewick-Richland, WA",Kennewick
2018-06-01,7.11,WA,"Kennewick-Richland, WA",Kennewick
2018-07-01,9.73,WA,"Kennewick-Richland, WA",Kennewick
2018-08-01,9.47,WA,"Kennewick-Richland, WA",Kennewick
2018-09-01,10.74,WA,"Kennewick-Richland, WA",Kennewick
2018-10-01,10.56,WA,"Kennewick-Richland, WA",Kennewick
2018-11-01,9.42,WA,"Kennewick-Richland, WA",Kennewick
2018-12-01,8.85,WA,"Kennewick-Richland, WA",Kennewick
2019-01-01,8.78,WA,"Kennewick-Richland, WA",Kennewick
2019-02-01,7.84,WA,"Kennewick-Richland, WA",Kennewick
2019-03-01,7.68,WA,"Kennewick-Richland, WA",Kennewick
2019-04-01,9.17,WA,"Kennewick-Richland, WA",Kennewick
2019-05-01,10.35,WA,"Kennewick-Richland, WA",Kennewick
2019-06-01,8.85,WA,"Kennewick-Richland, WA",Kennewick
2019-07-01,7.4,WA,"Kennewick-Richland, WA",Kennewick
2019-08-01,8.68,WA,"Kennewick-Richland, WA",Kennewick
2019-09-01,8.26,WA,"Kennewick-Richland, WA",Kennewick
2019-10-01,8.21,WA,"Kennewick-Richland, WA",Kennewick
2019-11-01,11.16,WA,"Kennewick-Richland, WA",Kennewick
2019-12-01,11.05,WA,"Kennewick-Richland, WA",Kennewick
2020-01-01,10.25,WA,"Kennewick-Richland, WA",Kennewick
2020-02-01,12.39,WA,"Kennewick-Richland, WA",Kennewick
2020-03-01,11.76,WA,"Kennewick-Richland, WA",Kennewick
2020-04-01,9.83,WA,"Kennewick-Richland, WA",Kennewick
