date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-08-01,-5.83,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-09-01,-5.19,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-10-01,-5.13,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-11-01,-2.81,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2020-12-01,-6.78,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-01-01,-15.69,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-02-01,-21.22,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-03-01,-23.0,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-04-01,-16.45,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-05-01,3.44,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-06-01,0.18,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-07-01,8.49,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-08-01,9.52,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-09-01,4.35,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-10-01,-1.04,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2021-11-01,-3.76,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-07-01,3.8,IL,"Rockford, IL",Rockford,"Housing Inventory: Active Listing Count Month-Over-Month in Rockford, IL (CBSA)",ACTLISCOUMM40420,Monthly,Not Seasonally Adjusted
2017-08-01,17.16,IL,"Rockford, IL",Rockford,"Housing Inventory: Active Listing Count Month-Over-Month in Rockford, IL (CBSA)",ACTLISCOUMM40420,Monthly,Not Seasonally Adjusted
