date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2018-09-01,24.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-10-01,14.36,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-11-01,13.48,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2018-12-01,13.16,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-01-01,18.19,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-02-01,27.11,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-03-01,-0.51,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-04-01,-30.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-05-01,-25.63,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-06-01,-25.12,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-07-01,-24.68,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-08-01,-22.14,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-09-01,-27.46,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-10-01,-23.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-11-01,-31.91,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2019-12-01,-36.08,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-01-01,-24.38,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-02-01,-34.58,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2020-03-01,-25.08,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
