date,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1997-09-01,3.2487101038971096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-10-01,3.3006351899207598,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-11-01,3.29159566789069,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1997-12-01,3.29245989988987,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-01-01,3.27810957874027,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-02-01,3.3239878452278595,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-03-01,3.3147670489276804,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-04-01,3.33620309878326,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-05-01,3.2828200578146802,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-06-01,3.32578487489379,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-07-01,3.35260642280883,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1998-08-01,3.34414607093657,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
