date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2021-08-01,7.22,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-09-01,-0.49,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-10-01,-1.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2021-11-01,-4.78,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-07-01,8.29,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2017-08-01,6.38,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2017-09-01,-12.21,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2017-10-01,-10.43,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2017-11-01,-5.34,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2017-12-01,-6.15,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2018-01-01,-5.23,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2018-02-01,0.74,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
2018-03-01,-2.37,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUMM13140,Monthly,Not Seasonally Adjusted
